id,citation,doi,url,year,type,peer_reviewed,taxon_specimen,structure,fe_method,geometry_source,material_model,loading,boundary_conditions,mesh_strategy,validation,sensitivity_uq,scientific_question,principal_finding,limitations,ualvp2_relevance,epistemic_status
F11,"Bright JA, Rayfield EJ. 2011. Sensitivity and ex vivo validation of finite element models of the domestic pig cranium. Journal of Anatomy 219:456-471.",10.1111/j.1469-7580.2011.01408.x,https://doi.org/10.1111/j.1469-7580.2011.01408.x,2011,Validation/Sensitivity Study,Yes,Domestic pig,cranium,Validated FE,CT-based specimen-specific geometry,Material heterogeneity/isotropy varied,Experimental load reproduced in FE,Experimental BCs approximated,Exact mesh details UNVERIFIED,Ex vivo strain gauges,"Material properties; loading; heterogeneity","Can FE reproduce experimental cranial strains?","Patterns/strain environment can agree while absolute magnitudes remain wrong; material properties are influential.",Extant pig and finite-resolution CT,"Core evidence for pattern-vs-magnitude interpretation.","DO/AI"
F12,"Fitton LC, Shi JF, Fagan MJ, O'Higgins P. 2012. Masticatory loadings and cranial deformation in Macaca fascicularis: a finite element analysis sensitivity study. Journal of Anatomy 221:55-68.",10.1111/j.1469-7580.2012.01516.x,https://doi.org/10.1111/j.1469-7580.2012.01516.x,2012,Sensitivity Study,Yes,Macaca fascicularis,cranium,FE sensitivity,Specimen-specific cranium,Constant baseline materials,Bite location; muscle activation variants,Functional cranial constraints,Exact mesh details UNVERIFIED,Indirect comparison,"Load location; activation","How do plausible masticatory loading regimes affect cranial deformation?","With force magnitude controlled, bite location effects exceeded tested muscle-activation effects in cranial deformation.",Extant masticatory system,"Very high relevance to force direction/placement UQ.","DO/AI"
F13,"Berthaume MA, Dechow PC, Iriarte-Diaz J, Ross CF, Strait DS, Wang Q, Grosse IR. 2012. Probabilistic finite element analysis of a craniofacial finite element model. Journal of Theoretical Biology 300:242-253.",10.1016/j.jtbi.2012.01.031,https://doi.org/10.1016/j.jtbi.2012.01.031,2012,Probabilistic FE Study,Yes,Macaca fascicularis,cranium,Probabilistic FE with LHS,Specimen-specific cranium,Cortical behavior varied among isotropic/heterogeneous/orthotropic models; Gaussian property distributions,Fixed craniofacial loading for material UQ,Exact BCs UNVERIFIED,426 deterministic FE simulations,None direct,"Material-property UQ","How does material variability propagate to cranial stress/strain?","LHS provides probabilistic propagation across plausible material properties.",Extant cranium; distributions model-specific,"Direct precedent for future material-property UQ.","DO/SYN"
F14,"McCurry MR, Evans AR, McHenry CR. 2015. The sensitivity of biological finite element models to the resolution of surface geometry: a case study of crocodilian crania. PeerJ 3:e988.",10.7717/peerj.988,https://doi.org/10.7717/peerj.988,2015,Sensitivity Study,Yes,Crocodilian crania,crania,FE sensitivity,Surface geometries at differing resolutions,Model properties held under comparison,Functional cranial loading,Consistent model constraints,Surface-resolution variants feeding solid meshing,No direct validation,"Surface geometry resolution","How does input surface resolution affect FE outputs?","Surface mesh/input geometry resolution is itself a potentially important model variable.",Comparative crocodilian context,"Supports geometry-pipeline sensitivity separate from solid-mesh convergence.","DO/SYN"
F15,"Godinho RM, Toro-Ibacache V, Fitton LC, O'Higgins P. 2017. Finite element analysis of the cranium: validity, sensitivity and future directions. Comptes Rendus Palevol 16:600-612.",10.1016/j.crpv.2016.11.002,https://doi.org/10.1016/j.crpv.2016.11.002,2017,Validation/Sensitivity Study,Yes,Human cadaveric cranium,cranium,Validated FE,Specimen-specific cadaveric cranium,Segmentation/material simplifications varied,Equivalent simulated loading to experiment,Equivalent experimental constraints,Exact mesh details UNVERIFIED,Experimental validation,"Segmentation/material sensitivity","How reliable are cranial FE predictions?","Absolute deformations not accurately predicted; relative strain distribution/global deformation mode reasonably approximated.",Human skull,"Strong rationale for hierarchical interpretation of UALVP 2 outputs.","DO/AI"
F16,"Cuff AR, Bright JA, Rayfield EJ. 2015. Validation experiments on finite element models of an ostrich (Struthio camelus) cranium. PeerJ 3:e1294.",10.7717/peerj.1294,https://doi.org/10.7717/peerj.1294,2015,Validation Study,Yes,Struthio camelus,complete cranium,Convergence-tested validated FE,Micro-CT segmentation including cortical/trabecular bone,sutures,rhamphotheca,Isotropic properties from literature/nanoindentation,Ex vivo experimental cranial loads,Controlled specimen-specific constraints,Convergence-tested FE,Ex vivo strains,"Sutures; materials; biological detail","Can complete avian cranial FE reproduce experimental strains?","Peak locations and deformation modes can be approximated, but regional magnitude/correlation remains imperfect; sutures alter patterns.",Extant ostrich,"Supports validation by anatomical region/output, not a generic global validation claim.","DO/AI"
F17,"Dumont ER, Grosse IR, Slater GJ. 2009. Requirements for comparing the performance of finite element models of biological structures. Journal of Theoretical Biology 256:96-103.",10.1016/j.jtbi.2008.08.017,https://doi.org/10.1016/j.jtbi.2008.08.017,2009,Methodological Paper,Yes,General biological FE,biological structures,Comparative FE methodology,Varied,Varied,Scaled force conditions,Consistent comparative BCs,Varied,None direct,"Output metric and scaling","How should FE performance be compared across biological shapes?","Total strain energy is proposed as a robust comparative metric under appropriate scaling; stress/strength and energy comparisons require different normalization.",Comparative framework,"Supports energy as a global output, with explicit normalization.","DO/AI"
F18,"Sylvester AD, Kramer PA. 2018. Young's Modulus and Load Complexity: Modeling Their Effects on Proximal Femur Strain. Anatomical Record 301:1189-1202.",10.1002/ar.23796,https://doi.org/10.1002/ar.23796,2018,Sensitivity Study,Yes,Modern human femur,femur,FE sensitivity,Existing femur mesh,Trabecular Young's modulus varied,Muscle-loading complexity varied,Existing functional supports,Exact mesh details UNVERIFIED,Experimental comparison in source context,"Young's modulus; load complexity","How sensitive is strain to E and load complexity?","Effects depend on region/output; muscle-loading placement can strongly alter local strain.",Human femur,"Shows no universal input-importance ranking.","DO/AI"
F19,"Marcé-Nogué J. 2022. One step further in biomechanical models in palaeontology: a nonlinear finite element analysis review. PeerJ 10:e13890.",10.7717/peerj.13890,https://doi.org/10.7717/peerj.13890,2022,Review,Yes,Palaeontology/anthropology,biomechanical models,Nonlinear FE review,Varied,Varied,Static and dynamic examples,Varied,Varied,Review evidence,"Nonlinearity","When do nonlinear materials/contact/buckling matter?","Most reviewed studies still used basic linear static FE; nonlinear methods broaden applications.",Review-level scope,"Justifies Phase 4 linear baseline while defining future nonlinear extensions.","DO/SYN"
F20,"Zhang L, Cao Z, Zhao Q. 2025. Deep learning-aided segmentation combined with finite element analysis reveals a more natural biomechanic of dinosaur fossil. Scientific Reports 15:13964.",10.1038/s41598-025-99131-4,https://doi.org/10.1038/s41598-025-99131-4,2025,Research Article,Yes,"Jeholosaurus fossil femur",femur,FEA + deep-learning segmentation,CT fossil with matrix/trabecular challenge,Exact material model UNVERIFIED,Fossil mechanical loading; exact values UNVERIFIED,Exact BCs UNVERIFIED,Exact mesh details UNVERIFIED,None external mechanical validation in abstract,"Segmentation method","Can ML segmentation improve fossil FE representation of trabecular architecture?","Segmentation strategy materially affects representation where rock matrix occupies intertrabecular space.",Fossil femur not cranial,"Supports treating segmentation as a model-form variable.","DO/AI/UNVERIFIED"
F21,"Baugnon L, Nicot R, Bethune N, Lecomte-Grosbras P, Witz J-F, Colliat J-B, Mayeur O. 2026. Uncertainty quantification and global sensitivity analysis of a patient-specific mandibular finite element model using Latin hypercube sampling and sparse polynomial chaos expansion. Medical Engineering & Physics 147.",10.1088/1873-4030/ae995b,https://doi.org/10.1088/1873-4030/ae995b,2026,UQ/Global Sensitivity Study,Journal Article,"Patient-specific human mandible",mandible,LHS + sparse PCE + global sensitivity,Patient-specific FE model,Material properties and contact-related inputs varied,Masticatory muscle loading varied,Patient-specific model constraints,Geometry/discretization parameters varied,Framework-level validation; not fossil validation,"LHS; PCE; Spearman; Sobol","Can global UQ rank drivers of mandibular stress variability?","Across the tested framework, muscle-force magnitudes and disc stiffness dominated stress variability; regional sample-size needs differed.",Human patient-specific model,"Direct modern methodological precedent for future Phase 5 UALVP 2 UQ.","DO/SYN"
