input_id,category,parameter,description,value,units,uncertainty,source,source_location,measurement_type,availability_status,evidence_level,current_dataset_source,confidence,notes
INP-MAT-11,Material,Cancellous Compressive Strength,Crushing strength of cancellous bone core,6.0-12.0,MPa,4-18 MPa,Vahey et al. (1987); Kuhn et al. (1989); Snively & Theodor (2011),p. 8,borrowed_literature,LITERATURE_ONLY,C,Canine and human proximal trabeculae,MEDIUM,Failure limit for internal trabecular crushing.
INP-LOAD-01,Loading,Impact Force Magnitude,Quasi-static resultant compressive collision force,1360.0,N,Calculated from 40 kg mass at 3.0 m/s closing speed,Snively & Cox (2008); Snively & Theodor (2011),p. 10; Table 1,inferred_scaling,LITERATURE_ONLY,D,Published Homalocephale scaling calculation,MEDIUM,Scaled biological collision force; acts as benchmark reference load.
INP-LOAD-02,Loading,Load Location,Spatial placement of contact force on cranial geometry,Dorsal frontoparietal dome apex,Anatomical coordinates,Apex region X:90-120 Y:120-160 Z:0-15,Snively & Theodor (2011),p. 7; Fig 12; Fig 13,anatomical_location,AVAILABLE_DIRECT,B,Top of frontoparietal mesh (Media 000043121),HIGH,Point of maximum dorsal dome convexity.
INP-LOAD-03,Loading,Load Vector Direction,Direction of applied impact force vector,"[0.0, 0.0, 1.0] (Dorsal-to-ventral)",Unit vector,Normal to local dome curvature,Snively & Theodor (2011),p. 7; Fig 12; Fig 13,assumed_direction,INFERABLE_WITH_ASSUMPTION,D,Geometry surface normal,HIGH,Compressive vertical/oblique force directed through dome apex toward basicranium.
INP-LOAD-04,Loading,Broad Load Area (Keratin Distributed),Contact patch area representing force spread through thick keratin pad,2500.0-4000.0,mm^2,Estimated from Fig 13A,Snively & Theodor (2011),p. 7; Fig 13A,modeled_area,INFERABLE_WITH_ASSUMPTION,D,Dome surface facet cluster,HIGH,Spreads 1360 N across broad dorsal dome patch.
INP-LOAD-05,Loading,Concentrated Load Area (Bare Bone / Thin Keratin),Contact patch area representing point impact on bare bone,100.0-200.0,mm^2,Estimated from Fig 13C,Snively & Theodor (2011),p. 7; Fig 13C,modeled_area,INFERABLE_WITH_ASSUMPTION,D,Dome surface apex facet cluster,HIGH,Applies 1360 N to narrow apex patch.
INP-BC-01,Boundary_Conditions,Occipital Condyle Constraint,Kinematic restraint at cranio-cervical articulation (atlas interface),Fixed (Ux=Uy=Uz=0 Rx=Ry=Rz=0),Displacement/Rotation constraints,Rigid pinning vs anatomical compliance,Snively & Theodor (2011),p. 10,anatomical_constraint,AVAILABLE_DIRECT,B,Occipital condyle surface of Neurocranium mesh,HIGH,Standard cranio-cervical boundary condition.
INP-BC-02,Boundary_Conditions,Nuchal Crest Muscular Constraint,Kinematic restraint along parietosquamosal nuchal margin,Fixed translational displacement,Displacement constraints,Muscular tension spring compliance,Tsuihiji (2005); McHenry et al. (2007); Snively & Theodor (2011),p. 10,anatomical_constraint,AVAILABLE_DIRECT,B,Posterodorsal rim of Squamosal and Frontoparietal meshes,HIGH,Restrains offset rotational moments and relieves condyle stress.
INP-BC-03,Boundary_Conditions,Sutural Contact Mechanics,Mechanical behavior at bone-to-bone interfaces between the 32 cranial elements,Fused / continuous solid (no slip/separation),Contact formulation,Rigidly fused vs compliant collagenous suture,Snively & Theodor (2011),p. 10,modeling_assumption,NOT_REQUIRED_FOR_SIMPLIFIED_MODEL,E,Unified surface mesh representation,HIGH,Snively & Theodor (2011) modeled UALVP 2 as a unified fused solid.
INP-MOD-01,Modeling,Element Formulation,Finite element solid formulation,Linear/Quadratic 4-node/10-node solid tetrahedra,dimensionless,Exact polynomial order unrecorded in text,Snively & Theodor (2011),p. 10,mesh_specification,AMBIGUOUS,E,Standard FE solid elements,MEDIUM,Standard 3D solid continuum elements.
INP-MOD-02,Modeling,Mesh Size / Element Count,Total number of volumetric solid elements in discretized cranium,2200000,elements,Mesh convergence threshold,Snively & Theodor (2011),p. 10,mesh_specification,LITERATURE_ONLY,C,Published 2.2M element Avizo mesh,HIGH,Mesh resolution benchmark from published study.
INP-MOD-03,Modeling,Governing Solver Formulation,Mathematical governing equations and solver type,Quasi-static linear elastic (Ku = F),dimensionless,Small displacement linear elasticity,Snively & Theodor (2011),p. 9-10; Strand7 solver,solver_specification,LITERATURE_ONLY,C,Strand7 linear static solver,HIGH,Exact governing system used in primary paper.
